sid	"sid_profile"	"post_id"	"profile_id"	"location_id"	"cts"	"post_type"	"description"	"numbr_likes"	"number_comments"
28370945	-1	"BxPgPDohGww"	8492416500	130379727582083	2019-05-09 14:44:50.000	1	"Очень мне от этого грустно 😢 
10318140	3406435	"BxAN-l4JkNe"	6027750611	130379727582083	2019-05-03 16:16:42.000	1	"⠀ ⠀ Руки не доходили поделиться с вами этими прекрасными глазками🌸\n⠀ Говорят: «Глаза-зеркало души»\nА Вы
28370998	-1	"BxnMyy-FYQQ"	463373585	4267235	2019-05-18 19:36:44.000	1	"Welcome humans to the Storm Force Accelatron. Due to the highly confidential nature of this mission please keep all cell phones
28370947	-1	"BwRE4lYhQ3r"	12722209053	130379727582083	2019-04-15 08:52:56.000	1	"ПРИНЦИП РАБОТЫ АППАРАТА МЕЛЛОН\n.\nАппарат МЕЛЛОН виртуальной цветоимпульсной терапии представляет собой очки-маску.\n.\nРебенок надевает ее. На внутреннем экране появляются цветные элементы
28370948	3529017	"BwIGwmFFEcc"	6263700119	130379727582083	2019-04-11 21:16:09.000	1	"Руки всегда обращают на себя внимание
28370949	-1	"BvtG_ZSBIvX"	8492416500	130379727582083	2019-04-01 09:38:41.000	1	"А у нас вот такая полосатая новинка! ❤️ Вообще
28370950	-1	"BvN8ubehZVA"	8492416500	130379727582083	2019-03-20 06:12:31.000	1	"Вот такой космический лук появился у нас в магазине!💥\nВсего ОДИН! \nСтоимость 1500 р. ———\nПомерить можно в ТЦ Парнас
28370980	-1	"BxCiTcOhEur"	1012018282	282618748	2019-05-04 13:53:26.000	2	"Inside the #infinityroom at #detectivepikachupooup #pikachudetective"	3	0
28370951	-1	"Bu2Yjslly_M"	3550688528	130379727582083	2019-03-11 02:33:57.000	1	"Контурная пластика носослезной  борозды
28370972	-1	"BxnXud_pQv_"	9016903266	282618748	2019-05-18 21:12:16.000	1	"Nothing like a good old fashioned English ‘boozer’
28370988	-1	"BQRE6u3BbGV"	181072550	4267235	2017-02-08 23:08:37.000	2	"Pura emoção!!!! Kkkkkkkkk e assim a gente vai vivendo tudo ao seu tempo
28370989	-1	"ra3aaLAAQN"	16965000	4267235	2014-08-08 04:01:25.000	2	"Yaaaaaaaassss for #storm 🙌😂 @andrewzaddyyy @rocco00 #universal #goodtimes #trendboys #cantdeal"	117	6
28370990	-1	"-jgOZSmSlS"	317051609	4267235	2015-11-26 17:28:28.000	1	"Action shot #svensgiving2015"	104	0
28370991	-1	"sp4MlTDWpE"	367440857	4267235	2014-09-07 20:28:17.000	1	"we're having fun and I 🍩 wanna leave okbai. 🍵💨 ✌"	102	1
28370993	-1	"sVzykwDrAk"	146130939	4267235	2014-08-31 01:24:58.000	2	"Me marea mas que dos pomos... Pero lo hice!"	59	5
28370994	-1	"c2ZFV2wfjp"	238094221	4267235	2013-08-11 00:44:14.000	1	"Me and SPIDERMAN!!!! Woohoo!!! LOVE THIS PICTURE<333 #me #Spiderman #universal"	73	5
28370955	-1	"BulFEWhhEdZ"	8492416500	130379727582083	2019-03-04 09:16:34.000	1	"Итак
28370987	-1	"BwF8AwGB7jq"	8457073104	282618748	2019-04-11 01:03:45.000	1	"The Crown #SevenDials #pubcorner #pub #bar #architecture #photography #history #thecrown #London #monmouthstreet #coventgarden"	45	0
28371018	-1	"BZ01ubggcMt"	187944929	571655810	2017-10-04 14:11:04.000	1		276	13
28371052	-1	"BtbHhcdHG-q"	225977532	316467822085247	2019-02-03 15:54:13.000	1	"🍍💃🏼🍻💕"	221	0
28370974	-1	"BxfP3HBgL2s"	1727890129	282618748	2019-05-15 17:29:37.000	1	"#londonpilsner"	13	0
28370975	-1	"BxS4sKvFrI1"	176274494	282618748	2019-05-10 22:16:15.000	1	"It’s #gin o’clock. ⏰ #london #londongin #gin #unitedkingdom #uk #england #londontown #travel #travelgram #englishpub #travelingram #travels #traveler #traveller #traveling #travelling #igtravel #girlsweekend #weekend #getaway"	39	2
28370976	-1	"BxSW8-tlZX5"	174366753	282618748	2019-05-10 17:21:27.000	1	"Posh graffiti #princessdi #princessdiana #royalfamily #princesscharlotteofcambridge #princegeorgeofcambridge #marypoppins #hrh #art #iphone7plus #london #sevendials #monmouthstreet #coventgarden #visitlondon"	56	0
28370977	-1	"BxQCQeAhTQt"	6042801808	282618748	2019-05-09 19:42:08.000	1	"Depois de tanto sacrifício não pode ser qualquer pub... qualquer cerveja!!! The life is short! We need a rock
28372098	-1	"BvILz8whECo"	11701861909	164962624084180	2019-03-18 00:28:54.000	1	"Kokotxas de Bacalao 🐟"	6	0
28370981	-1	"BxCiHV6BNq8"	1012018282	282618748	2019-05-04 13:51:08.000	1	"Hands up if you love #pikachu can't wait to see #detectivepikachu #pikachulover #pikachudetective"	3	0
28370982	-1	"BxChr-yh32j"	1012018282	282618748	2019-05-04 13:47:24.000	1	"Went to a free mimeworkshop at #detectivepikachupooup in #sevendials got there early. All the wrists for 1 to 5pm are sold out. You can get wristsbands for 6pm. There is a infinity room. #photoopportunity #karaokeroom #london #detectivepikachu #pokemon"	7	1
28370984	3206132	"Bw7Q5rPAylj"	2873605885	282618748	2019-05-01 18:06:02.000	1	"Pre expo shenanigans with these cunts"	1983	41
28370985	-1	"BwhWzodBSCJ"	413425659	282618748	2019-04-21 16:37:23.000	1	"Mega family vibes 🍻"	47	3
28370986	-1	"BwIYxwBBKrt"	11014085	282618748	2019-04-11 23:53:36.000	1	"Sexy sons of bitches!!!! #sevendials"	21	2
28371000	-1	"BwVjvppJtdL"	12763881514	4267235	2019-04-17 02:39:33.000	1	"When you don’t go on the spinning rides and you are tasked to “hold this”."	8	0
28371001	-1	"BvxeXQ7D1hQ"	7300900038	4267235	2019-04-03 02:19:53.000	1		2	0
28371002	-1	"BvsAi-sBItu"	46330013	4267235	2019-03-31 23:23:21.000	2		4	0
28371003	-1	"BvXnOtvBHzG"	4954450336	4267235	2019-03-24 00:25:37.000	2	"At just like that
28371004	-1	"BvUDhjSgOD7"	1603004096	4267235	2019-03-22 15:07:51.000	2	"When you’re too short to ride Hulk. Still having a blast!"	2	0
28371006	-1	"BttHbrGhyTm"	46330013	4267235	2019-02-10 15:40:20.000	2		7	0
28371007	1724184	"BsmADeVl_aZ"	285614617	4267235	2019-01-14 00:49:12.000	1	"😈"	11	0
28371008	-1	"BrtzrqTAfkX"	1278391105	4267235	2018-12-23 05:04:58.000	2	"We got sooooo dizzy #spinnyspin #universalstudios"	22	0
28371009	-1	"BqLjsvdBg98"	1793319124	4267235	2018-11-15 01:18:23.000	1	"When you’re too much of a pussy to ride rollercoasters. Tea cups for one while you wait for everyone!! #fuckyeah #pussy #adventureisland #universalstudios #fun #marvel #xmen #florida #orlando"	14	0
28371010	-1	"BpIgvCcBZOB"	40638918	4267235	2018-10-20 01:23:22.000	1		13	0
28371011	3304555	"BoAyr0QlR4M"	643646723	4267235	2018-09-22 04:55:17.000	2	"So much fun 😂\n.\n.\n.\n#universal #universalstudios #islandsofadventure #halloweenhorrornights #events #themepark #rollercoasters #orlando #florida #holiday #dreamholiday #america #makingmemories #usa #tourist #professionaltourist #sightseeing"	22	1
28371062	-1	"Buy6vcDBiHn"	6343470910	316467822085247	2019-03-09 18:15:41.000	1	"Txoooootx🍏"	84	1
28371005	4376375	"BvHleY6BSsI"	6517756	4267235	2019-03-17 18:53:55.000	1	"Round and round we go!! @islandsofadventure"	9	0
28371012	-1	"BnRZ4bRljqJ"	24462748	4267235	2018-09-03 19:13:52.000	1	"This was the first time that no one called out of work to go to Universal"	31	0
28370992	-1	"BmQ1jysAY_8"	483846736	4267235	2018-08-09 17:29:53.000	2		201	0
28371013	-1	"Bk_hz59Bkpf"	37179173	4267235	2018-07-09 03:34:02.000	1	"A beginning of a MARVELous day"	12	0
28370995	-1	"Bkui8KIARdR"	3909936960	4267235	2018-07-02 13:16:49.000	1	"anything for those smiles
28371014	-1	"BjSHMdMHhUZ"	238172167	4267235	2018-05-27 15:44:14.000	1	"四个人一个罐！#diplodizzy #islandsofadventure #universalstudios"	22	2
28371015	-1	"Bi_BxXMlF2l"	29972600	4267235	2018-05-20 05:51:44.000	2		3	0
28371016	-1	"Bi7XrT8BSSe"	7717045398	4267235	2018-05-18 20:19:35.000	2	"Just went on Storm Force Accelatron 4 times #Universal Fieldtrip"	6	0
28371017	470759	"BhWryTpAzuN"	550300	4267235	2018-04-09 17:18:09.000	1	"Monday morning class in session. #monday #universalstudios #citykids #imwithher #love #storm #grateful"	41	1
28371051	-1	"BfYEIr7lTap"	1133783124	316467822085247	2018-02-19 12:07:22.000	1	"❤️ #aupaotsaila"	545	2
28371053	-1	"BUofAd9Aibm"	2946733236	316467822085247	2017-05-28 12:24:42.000	1	"Eramos pocos y pario la abuela!😘😘😘"	340	4
28371054	-1	"Bh2M3X_hfxo"	1459125708	316467822085247	2018-04-21 23:03:39.000	1	"Somos CROSSFIT @crossfit_urquijo 🤝 @crossfit_zurriola \nDe Sagardotegi junto con nuestros participantes del OPEN 2018
28371055	-1	"Bh4oA_KBu_Y"	3858187394	316467822085247	2018-04-22 21:39:23.000	1	"‼️ INCREÍBLE ‼️ Somos CROSSFIT @crossfit_urquijo 🤝 @crossfit_zurriola \nDe Sagardotegi junto con nuestros participantes del OPEN 2018
28371056	-1	"BhlrcvuHPEH"	7064380834	316467822085247	2018-04-15 13:03:49.000	1	"Sidrería 2018!! 🍏🍎"	98	1
28371058	-1	"BxqShqYCySj"	177624428	316467822085247	2019-05-20 00:24:33.000	1	"Бежим дальше по сидрериям
28371059	-1	"BwMi7K7np3o"	1812398295	316467822085247	2019-04-13 14:39:14.000	1	"De sidrería 🍾🍾"	50	0
28371060	-1	"Bv7f1ymgNZa"	27293293	316467822085247	2019-04-06 23:45:11.000	1	"De Sidrería!"	82	3
28371061	-1	"Bvywf6jlgZv"	5668942840	316467822085247	2019-04-03 14:17:35.000	1	"Timonel concentrado tras la regata / Coxswain concentrated after rowing race #Orio #Gipuzkoa #Euskadi #sidra #cider #escanciandoqueesgerundio #postureo #catalanspelmon #LlagutsDeCalafell  #rowing #remo #picoftheday #instadaily"	72	2
28371063	-1	"Bt8s5ahhVlo"	1811191955	316467822085247	2019-02-16 16:55:44.000	1	"Txootx 2019!!!! #fortys #sagargotegi #sidra #otroañomas"	76	0
28371064	-1	"Btjn1ZGA4eK"	184743616	316467822085247	2019-02-06 23:10:29.000	1	"El postre #basquecountry #sidreria #gastronomia #quesoconmembrillo 😋😋"	19	4
28371050	-1	"BqvNtwnHAUo"	1180419409	316467822085247	2018-11-28 21:38:57.000	1	"Nos queda un dia hermanita\nCrees que aguantaremos ?@anetxu_g"	234	6
28371019	-1	"BsY3kI4nXmc"	279911223	571655810	2019-01-08 22:24:53.000	1	"Definitely Summer Team here🙋🏻‍♂️🐠☀️🔥\nAnother #Tb for another fucking cold day😏\n.\n.\n.\n#Summer\n#ItalianDays\n#Pgnperilsociale"	222	12
28371020	-1	"Bm3iTSInGFb"	227915503	571655810	2018-08-24 18:07:11.000	1	"Qualcosa per la quale perdere il fiato. 💙 #vulcano\n\n#aeolianislands #sky #drone #nofilterneeded"	247	6
28371021	-1	"BpuFac1nFD9"	490520239	571655810	2018-11-03 14:35:46.000	1	"Quel posto era semplicemente tutto ciò di cui aveva bisogno."	144	11
28371022	-1	"BrmkvIqnS-s"	6100581	571655810	2018-12-20 09:38:20.000	1	"Black Sicilian sand and tan bb. 🐠☀️"	206	13
28371023	-1	"BmeEduIB_BD"	1248103021	571655810	2018-08-14 20:45:27.000	1	"Da sempre🍻"	132	4
28371024	-1	"BoG5mWtBLyg"	427312495	571655810	2018-09-24 13:50:46.000	1	"Today we have arrived to our Nonna’s childhood home.. Happiness surrounded by cliffs
28371026	541393	"BVQ_uJDlR3W"	16874194	571655810	2017-06-13 06:00:10.000	1	"September 30th week : the Sicily voyage - who's coming with! Limited cabins folks so don't be late! Contact us for details. Chow by chef @sanssho #Yum #AdventureTravel #SailingCollective #Sicily #AeolianIslands - info@thesailingcollective.com and ask for Aisleagh J.
28371027	-1	"ByDrXj_gTxY"	574033685	571655810	2019-05-29 21:05:51.000	2	"@gioliandassia #handpatSet #Diesislive"	18	0
28371028	-1	"ByCVWdpg0nm"	10175333523	571655810	2019-05-29 08:31:00.000	1	"Offering fine dining
28371029	-1	"ByBTSKSoyxG"	51742692	571655810	2019-05-28 22:53:42.000	1	"Walking up to the crater of Vulcano island is a truly #sensoryexperience : in addition to the beauty of the landscape
28371030	-1	"ByBR4L1i9NM"	4632353135	571655810	2019-05-28 22:45:04.000	2	"Although less known than the other islands
28371087	-1	"Bw1g6h5HXWl"	4442361096	708353895	2019-04-29 12:30:31.000	1	"😋"	131	2
28371031	-1	"ByBJAptFj7d"	8222448689	571655810	2019-05-28 21:23:55.000	1	"Volcano & Vulcanello 🇮🇹 ➖➖➖➖➖➖➖➖➖➖➖➖➖➖#holidaytrip #vacation #aroundtheworld #wonderlust #summer #travelpassion #instatravel #holiday #vacationmode #instagood #travelideas #traveler #pictureoftheday #travelblog #instatravel #travelphoto #travel #trip #worldplaces #visit #ig_europe #ig_italy #europe #italy #sicily #vulcano #island #aeolianislands #sea #adventure"	42	2
28371032	-1	"Bx96yK2JZu4"	1520818903	571655810	2019-05-27 15:21:53.000	1	"Bu qizlarni men juda ham sevaman. ❤❤\n🇮🇹 Italiyalik iqtidor egalari. 😘😘\nI love you
28371033	-1	"Bx8N6oAizos"	7423042395	571655810	2019-05-26 23:30:35.000	1	"Obscura Video Shooting in Italy 2019. RIP - longsleeve and stage pants. Brutal and exhausting shooting
28371034	-1	"Bx8GPYRlona"	5721198298	571655810	2019-05-26 22:23:31.000	1	"#titou #ape #vulcano #familyholidays"	14	0
28371035	-1	"Bx4ayU9ITcP"	2359183323	571655810	2019-05-25 12:06:05.000	1	"[🌕]"	90	1
28371025	-1	"Bx1LKyGoAya"	2359183323	571655810	2019-05-24 05:51:54.000	1	"[🌋]"	134	1
28371036	-1	"Bx0SjIRid6N"	191885724	571655810	2019-05-23 21:37:09.000	1	"I love infinitypools and i love sunsets... What a match!! 😍🙌🏼😍#infinitypool #sunset #eolicislands #therasiaresort #filiduci #italia #holidays #ladolcevita"	30	0
28371037	-1	"Bxz5Q1PItZ7"	2359183323	571655810	2019-05-23 17:56:12.000	1	"[✨]"	87	6
28371038	-1	"BxrrwLTFFVr"	6856792503	571655810	2019-05-20 13:24:13.000	1	"🆕️\nCantiere aperto! \nNon vediamo l'ora di mostrarvi il risultato finale! 😉\n.\n.\n#parredo #padesign #arredamento #parrucchiera #salonedibellezza #parrucchiere #capelli #benessere #workinprogress #look #centrobenessere #centroestetico #arredamentointerni #barbiere #barbershop"	17	0
28371039	-1	"BxrQyyZh6i6"	8253471906	571655810	2019-05-20 09:28:39.000	1	"🌋 La magica vista del Cratere di Vulcano dal mare 🌊"	283	9
28371040	-1	"Bxqo9FXFAX-"	7745498978	571655810	2019-05-20 03:40:32.000	1	"Once upon a time on an island 🌋🌊🐋☀\n#sicily🇮🇹 #vulcano #eolie #relax #holiday #italy #bestplace #swimming #sailing"	22	0
28371041	-1	"BxpDgd1Iiz5"	310912505	571655810	2019-05-19 12:54:04.000	1	"#sailingpleasure #skipper #catamaran #sicily #vulcano"	13	0
28371042	-1	"BxonelSix3b"	1088163371	571655810	2019-05-19 08:49:08.000	1	"#vulcanomemories #vulcanoisland #cratere #isoleeolie #amazing #fantasticexperience #wanttocomeback #amore #instalike #instacool #instanature"	17	1
28371043	-1	"BxnfPEjnm3a"	299345096	571655810	2019-05-18 22:17:53.000	1	"🌋 #purple #memories"	64	1
28371044	-1	"BxmT17KFzWR"	13138343586	571655810	2019-05-18 11:19:05.000	1	"La natura incontaminata \nLa creazione divina🔝"	0	0
28371045	-1	"BxmDjJloZwP"	6747215557	571655810	2019-05-18 08:56:43.000	1	"From one volcano to another - Stromboli seen from the crater of Vulcano\n.\n.\n#stromboli #vulcano #aeolianislands #sicily #lipari"	16	0
28371046	-1	"BxiIrFso-4r"	1495786131	571655810	2019-05-16 20:24:31.000	1	"🔜 ""Tutto ciò che è primordiale mi affascina e mi attrae
28371047	-1	"Bxh3A4pi66c"	3458892513	571655810	2019-05-16 17:50:13.000	1	"Nubes\nArte en el cielo de la isla #vulcano\n.\n.\n.\n#volcanactivo #instapho #naturephotography #vulcano #vulcanología #landscape #landscapephotography #landscape_love #colors #sky #instagram #photo #photography #azul #arbol #naturelover #nature #nubes #clouds☁"	44	0
28371048	-1	"Bxat-qjAGSZ"	3458892513	571655810	2019-05-13 23:16:35.000	1	"Los paisajes en la isla Vulcano son llenos de color y mar\n.\n.\n.\n#volcanactivo #instapho #naturephotography #vulcano #vulcanología #landscape #landscapephotography #landscape_love #colors #sky #instagram #photo #photography #azul #arbol #naturelover #nature"	38	2
28371049	-1	"BxZaxgap0zo"	299345096	571655810	2019-05-13 11:09:31.000	1	"💜🌈 #miisla"	37	2
28371076	-1	"Bkca2F8nuaF"	550193411	708353895	2018-06-25 12:19:45.000	1	"🤗 #monday #selfie #blonde #selfiemoment #slovakgirl 😊"	123	13
28371077	-1	"Bfbjds1AmsK"	1392100396	708353895	2018-02-20 20:38:51.000	1	"Hviezdy 💪😁❤⚽"	116	12
28371078	-1	"BipXkbQn0ZG"	3321813094	708353895	2018-05-11 19:58:27.000	1	"✌️😂😎"	140	16
28371079	-1	"BDzzxgeN3DN"	965263547	708353895	2016-04-05 09:04:06.000	1	"#slovakia #myslina #humenne #tree                                 Follow instagramer @samuel_grey1966 😇"	946	1
28371080	-1	"BmLCV7jh-61"	644308941	708353895	2018-08-07 11:21:20.000	1	"Golden hour! #goldenhour #goprohero6 #GoProComunity #gopropl #gopro_epic"	114	0
28371081	-1	"BZav5V1A0xD"	288642294	708353895	2017-09-24 10:59:52.000	1	"🤙🏻🤙🏻"	136	0
28371082	-1	"BjA2n5_lfyD"	1521314449	708353895	2018-05-20 22:52:21.000	1		352	1
28371083	-1	"BobXIV6gZkO"	1505975383	708353895	2018-10-02 12:33:37.000	1	"....prechádzka v daždi 💦"	175	2
28371075	-1	"ByFGwqvISQr"	4070517150	708353895	2019-05-30 10:21:14.000	1	"she is one of the best💕"	237	8
28371084	-1	"BxwOy1PCqBr"	6071770398	708353895	2019-05-22 07:47:23.000	1	"Sloneczko
28371085	-1	"BxNSl5lBiZ0"	550193411	708353895	2019-05-08 18:07:09.000	1	"❤️ #wednesday #selfie #loveofmylife 🥰"	71	3
28371086	-1	"Bw4-R1vp0XG"	6076319175	708353895	2019-04-30 20:44:50.000	1	"#converse #converseczsk #inmyconverse #conversechucktaylor #pink #aesthetic #filter #colorphoto #me #mylegs #tree #spring #rebrík #garden"	128	6
28371088	-1	"Bw1MnR_HjVF"	1714889533	708353895	2019-04-29 09:33:08.000	1	"❤️Наведи порядок в мыслях – и увидишь мир другими глазами❤️"	41	1
28371089	-1	"Bwsi0kXBHDh"	280573569	708353895	2019-04-26 00:54:01.000	1	"#nofilter #bmw #bmwcar #e84 #deutschland #deutcheauto #bmwlovers #humenne #mycar #xdrive #mpaket"	54	0
28371065	-1	"Bs57bqIjCdE"	5992084878	316467822085247	2019-01-21 18:33:37.000	1	"📍\n.\n.\n.\n\n#canonphotography #canonphoto #nikonphotos #photography #photographer #photographerslife #fotografia #fotografia #arte #art #nikon #photoart #nikon #shoting #traveler #travelphotography #traveling  #travelgram #traveller #travelblogger  #viajeros  #likeforlike #callejerosviajeros #like4likes #nikonusa #instagood #photooftheday #beautiful #happy #picoftheday"	38	0
28371066	-1	"BsvpFwvBvVE"	5558890223	316467822085247	2019-01-17 18:40:57.000	1	"Visitando las bodegas
28371067	-1	"BqjiHohBPsA"	5326748218	316467822085247	2018-11-24 08:46:21.000	1	"Levantarse por la mañana y ver esto
28371068	-1	"BpmTcaNgXQ9"	4062133213	316467822085247	2018-10-31 14:04:27.000	1	"#calcepatontour\n📝Nom: Tortilla de bacalao / Bacalao con pimientos verdes / Chuleta de Buey / Queso
28371069	-1	"BpOTzbnnwKk"	3015618837	316467822085247	2018-10-22 07:25:49.000	1	"Me encanta esta foto!!! No sólo por la ubicación
28371057	-1	"Bo1WiIPlPmV"	299685846	316467822085247	2018-10-12 14:51:34.000	2	"HORRELA AMAITU NUEN LEHENGO ASTEAN AGINA-n goizeko 9:30-tan !!!\nAstebukaera honetan ere giroa itzela : Jotatxo 
28371070	-1	"BonzcJPlS9T"	299685846	316467822085247	2018-10-07 08:31:53.000	1	"AGINA !!! @dejotabull @aginagako_jaiak #elizazaharra #dantzatzenduenherriaezdainoizhilko #gorajaiherrikoiak #altsasukoakaske"	72	1
28371071	-1	"Bol4D5wFKLQ"	299685846	316467822085247	2018-10-06 14:33:47.000	1	"GAUR 
28371072	-1	"BoYkT8IgctR"	213563691	316467822085247	2018-10-01 10:31:05.000	1		30	2
28371073	-1	"BnbP8SUB5wF"	54807960	316467822085247	2018-09-07 14:59:25.000	1	"Lo just x viure😏😏😏 #vacanses #enbonacompanyia #enamoratdelsmeusfills  #unpetóalcel"	69	14
28371074	-1	"BmqnKBGFzIy"	3779437	316467822085247	2018-08-19 17:39:29.000	1	"Sidrería#paisvasco#quemaneradecomer#somosunospringaos#buenisimo#"	23	4
28371108	-1	"-H_r7PN9S_"	20993572	239241904	2015-11-16 01:04:38.000	1	"#Shanghai"	456	31
28371092	-1	"BwcoYBjBsCF"	5462942346	708353895	2019-04-19 20:34:42.000	1	"#velkanoc #velkypiatok #dibujotradicional"	44	0
28371093	-1	"BwcetvohXOC"	2368851192	708353895	2019-04-19 19:10:17.000	1		29	0
28371094	-1	"BwXkbR0nsb4"	8138416790	708353895	2019-04-17 21:24:00.000	1	"🏇👌"	12	1
28371095	-1	"Bv4RxuXANQR"	4608472281	708353895	2019-04-05 17:44:35.000	1	"Rianeee 😂 #priroda #fajne #dasa #naprechazdke #sakcombine #friends #trip #perfect #rianeee 😘👌"	19	2
28371096	-1	"Bv4RTH1n4SX"	4608472281	708353895	2019-04-05 17:42:39.000	2	"Aj my teba ❤️😘👌🤣#priroda #fajne #dasa #naprechazdke #sakcombine #friends #trip #perfect @sko_po ❤️❤️❤️"	15	0
28371097	-1	"BvwRsuXncz-"	9845791488	708353895	2019-04-02 15:09:58.000	1	"Komentuj"	6	0
28371098	-1	"BvY1SIJh6UU"	7879515961	708353895	2019-03-24 11:39:08.000	1	"Tak zvané umelecké fotografie\nMôžu byť?"	13	0
28371099	-1	"BvYx4N2hijS"	7879515961	708353895	2019-03-24 11:09:23.000	1	"Pekné napíš do komentu"	5	0
28371100	-1	"BvPgUTDHgN6"	2977709735	708353895	2019-03-20 20:42:46.000	1		26	0
28371101	-1	"BvKJd98lwx3"	1908510335	708353895	2019-03-18 18:46:55.000	1		89	1
28371102	-1	"BvHxpSHnP01"	2372763444	708353895	2019-03-17 20:40:15.000	1	"#Bro"	15	2
